"title","rental_duration"
"Bright Encounters",4
"Date Speed",4
"Ali Forever",4
"Amelie Hellfighters",4
"Anything Savannah",4
"Arachnophobia Rollercoaster",4
"Army Flintstones",4
"Arsenic Independence",4
"Basic Easy",4
"Bear Graceland",4
"Birch Antitrust",4
"Birdcage Casper",4
"Bonnie Holocaust",4
"Brannigan Sunrise",4
"Breaking Home",4
"Bubble Grosse",4
"Bugsy Song",4
"Bulworth Commandments",4
"Bunch Minds",4
"Cabin Flash",4
"Calendar Gunfight",4
"California Birds",4
"Candidate Perdition",4
"Carol Texas",4
"Champion Flatliners",4
"Club Graffiti",4
"Clueless Bucket",4
"Clyde Theory",4
"Coast Rainbow",4
"Connecticut Tramp",4
"Conquerer Nuts",4
"Conspiracy Spirit",4
"Conversation Downhill",4
"Crossing Divorce",4
"Crusade Honey",4
"Cupboard Sinners",4
"Dalmations Sweden",4
"Dawn Pond",4
"Deliverance Mulholland",4
"Desert Poseidon",4
"Destiny Saturday",4
"Details Packer",4
"Detective Vision",4
"Divine Resurrection",4
"Doctor Grail",4
"Donnie Alley",4
"Doom Dancing",4
"Double Wrath",4
"Dragon Squad",4
"Driver Annie",4
"Duck Racer",4
"Dynamite Tarzan",4
"Eagles Panky",4
"Egg Igby",4
"Elephant Trojan",4
"Elf Murder",4
"Everyone Craft",4
"Eyes Driving",4
"Factory Dragon",4
"Family Sweet",4
"Fiction Christmas",4
"Fiddler Lost",4
"Finding Anaconda",4
"Fireball Philadelphia",4
"Fish Opus",4
"Flamingos Connecticut",4
"Forrest Sons",4
"Galaxy Sweethearts",4
"Gangs Pride",4
"Gaslight Crusade",4
"Gathering Calendar",4
"Glass Dying",4
"Gold River",4
"Goodfellas Salute",4
"Gorgeous Bingo",4
"Grail Frankenstein",4
"Grapes Fury",4
"Guys Falcon",4
"Identity Lover",4
"Handicap Boondock",4
"Hate Handicap",4
"Head Stranger",4
"Hocus Frida",4
"Hope Tootsie",4
"Horn Working",4
"Hours Rage",4
"Hunchback Impossible",4
"Illusion Amelie",4
"Indian Love",4
"Informer Double",4
"Instinct Airport",4
"Interview Liaisons",4
"Ishtar Rocketeer",4
"Jaws Harry",4
"Jekyll Frogmen",4
"Juggler Hardly",4
"Jumanji Blade",4
"Jumping Wrath",4
"Karate Moon",4
"Kill Brotherhood",4
"Knock Warlock",4
"Lady Stage",4
"Ladybugs Armageddon",4
"Life Twisted",4
"Loathing Legally",4
"Lola Agent",4
"Lolita World",4
"Lost Bird",4
"Madison Trap",4
"Madness Attacks",4
"Magnolia Forrester",4
"Maker Gables",4
"Mallrats United",4
"Massage Image",4
"Memento Zoolander",4
"Metropolis Coma",4
"Mile Mulan",4
"Million Ace",4
"Minority Kiss",4
"Mob Duffel",4
"Mockingbird Hollywood",4
"Model Fish",4
"Moonshine Cabin",4
"Moulin Wake",4
"Mulan Moon",4
"National Story",4
"Natural Stock",4
"Newsies Story",4
"Newton Labyrinth",4
"North Tequila",4
"Novocaine Flight",4
"Orange Grapes",4
"Outfield Massacre",4
"Oz Liaisons",4
"Panky Submarine",4
"Patton Interview",4
"Paycheck Wait",4
"Pelican Comforts",4
"Pinocchio Simon",4
"Pirates Roxanne",4
"Pittsburgh Hunchback",4
"Pizza Jumanji",4
"Prix Undefeated",4
"Pulp Beverly",4
"Purple Movie",4
"Quills Bull",4
"Rage Games",4
"Raging Airplane",4
"Raiders Antitrust",4
"River Outlaw",4
"Road Roxanne",4
"Robbery Bright",4
"Rock Instinct",4
"Rocky War",4
"Roots Remember",4
"Rugrats Shakespeare",4
"Sagebrush Clueless",4
"Salute Apollo",4
"Sea Virgin",4
"Seattle Expecations",4
"Sense Greek",4
"Seven Swarm",4
"Shining Roses",4
"Silverado Goldfinger",4
"Sleepy Japanese",4
"Sleuth Orient",4
"Smile Earring",4
"Snatchers Montezuma",4
"Something Duck",4
"South Wait",4
"Spartacus Cheaper",4
"Spoilers Hellfighters",4
"Stage World",4
"State Wasteland",4
"Steel Santa",4
"Strangelove Desire",4
"Strangers Graffiti",4
"Suicides Silence",4
"Suspects Quills",4
"Swarm Gold",4
"Taxi Kick",4
"Tenenbaums Command",4
"Titans Jerk",4
"Tourist Pelican",4
"Tramp Others",4
"Translation Summer",4
"Twisted Pirates",4
"Vacation Boondock",4
"Vampire Whale",4
"Vertigo Northwest",4
"Videotape Arsenic",4
"Villain Desperate",4
"Waterfront Deliverance",4
"West Lion",4
"Whale Bikini",4
"Whisperer Giant",4
"Wild Apollo",4
"Wizard Coldblooded",4
"Women Dorado",4
"Wonderland Christmas",4
"Working Microcosmos",4
"Worst Banger",4
"Youth Kick",4
