"title","film_id","rental_rate"
"Adaptation Holes",3,"2.99"
"Affair Prejudice",4,"2.99"
"African Egg",5,"2.99"
"Agent Truman",6,"2.99"
"Alabama Devil",9,"2.99"
"Alien Center",15,"2.99"
"Alley Evolution",16,"2.99"
"Amistad Midsummer",22,"2.99"
"Analyze Hoosiers",24,"2.99"
"Angels Life",25,"2.99"
"Antitrust Tomatoes",29,"2.99"
"Anything Savannah",30,"2.99"
"Apollo Teen",33,"2.99"
"Arachnophobia Rollercoaster",35,"2.99"
"Arizona Bang",37,"2.99"
"Artist Coldblooded",42,"2.99"
"Atlantis Cause",43,"2.99"
"Badman Dawn",49,"2.99"
"Baked Cleopatra",50,"2.99"
"Balloon Homeward",51,"2.99"
"Bang Kwai",53,"2.99"
"Barbarella Streetcar",55,"2.99"
"Barefoot Manchurian",56,"2.99"
"Basic Easy",57,"2.99"
"Beach Heartbreakers",58,"2.99"
"Bear Graceland",59,"2.99"
"Bed Highball",62,"2.99"
"Berets Agent",67,"2.99"
"Beverly Outlaw",69,"2.99"
"Bill Others",72,"2.99"
"Bingo Talented",73,"2.99"
"Blackout Private",78,"2.99"
"Blanket Beverly",80,"2.99"
"Blues Instinct",83,"2.99"
"Braveheart Human",94,"2.99"
"Breaking Home",96,"2.99"
"Bringing Hysterical",99,"2.99"
"Bugsy Song",104,"2.99"
"Bulworth Commandments",106,"2.99"
"Bunch Minds",107,"2.99"
"Campus Remember",115,"2.99"
"Candidate Perdition",116,"2.99"
"Carol Texas",121,"2.99"
"Cassidy Wyoming",125,"2.99"
"Cause Date",129,"2.99"
"Chance Resurrection",135,"2.99"
"Clash Freddy",154,"2.99"
"Chaplin License",136,"2.99"
"Charade Duffel",137,"2.99"
"Chariots Conspiracy",138,"2.99"
"Chitty Lock",146,"2.99"
"Chocolate Duck",148,"2.99"
"Cider Desire",150,"2.99"
"Circus Youth",152,"2.99"
"Clones Pinocchio",158,"2.99"
"Clueless Bucket",162,"2.99"
"Core Suit",184,"2.99"
"Color Philadelphia",166,"2.99"
"Comforts Rush",169,"2.99"
"Confused Candles",175,"2.99"
"Conspiracy Spirit",180,"2.99"
"Contact Anonymous",181,"2.99"
"Cowboy Doom",185,"2.99"
"Cranes Reservoir",187,"2.99"
"Crazy Home",188,"2.99"
"Crossroads Casualties",193,"2.99"
"Crusade Honey",197,"2.99"
"Crystal Breaking",198,"2.99"
"Cupboard Sinners",199,"2.99"
"Cyclone Family",201,"2.99"
"Dares Pluto",208,"2.99"
"Darkness War",209,"2.99"
"Deer Virginian",220,"2.99"
"Desire Alien",223,"2.99"
"Diary Panic",230,"2.99"
"Dinosaur Secretary",231,"2.99"
"Dirty Ace",232,"2.99"
"Disturbing Scarface",234,"2.99"
"Divide Monster",235,"2.99"
"Divine Resurrection",236,"2.99"
"Divorce Shining",237,"2.99"
"Doctor Grail",238,"2.99"
"Dolls Rage",240,"2.99"
"Dream Pickup",252,"2.99"
"Driver Annie",254,"2.99"
"Duck Racer",259,"2.99"
"Dwarfs Alter",264,"2.99"
"Egg Igby",274,"2.99"
"Enough Raging",286,"2.99"
"Escape Metropolis",288,"2.99"
"Exorcist Sting",293,"2.99"
"Express Lonely",296,"2.99"
"Extraordinary Conquerer",297,"2.99"
"Eyes Driving",298,"2.99"
"Fantasia Park",302,"2.99"
"Fargo Gandhi",304,"2.99"
"Fatal Haunted",305,"2.99"
"Ferris Mother",308,"2.99"
"Fish Opus",319,"2.99"
"Flatliners Killer",322,"2.99"
"Floats Garden",325,"2.99"
"Flying Hook",326,"2.99"
"Forever Candidate",328,"2.99"
"Forrest Sons",329,"2.99"
"Forward Temple",331,"2.99"
"Freaky Pocus",333,"2.99"
"Frida Slipper",337,"2.99"
"Full Flatliners",343,"2.99"
"Gangs Pride",349,"2.99"
"Gaslight Crusade",351,"2.99"
"Gentlemen Stage",353,"2.99"
"Giant Troopers",356,"2.99"
"Gleaming Jawbreaker",361,"2.99"
"Glory Tracy",362,"2.99"
"Godfather Diary",364,"2.99"
"Gone Trouble",368,"2.99"
"Gorgeous Bingo",370,"2.99"
"Graduate Lord",373,"2.99"
"Grail Frankenstein",375,"2.99"
"Greatest North",378,"2.99"
"Greek Everyone",380,"2.99"
"Gunfighter Mussolini",389,"2.99"
"Half Outfield",391,"2.99"
"Halloween Nuts",393,"2.99"
"Hamlet Wisdom",394,"2.99"
"Identity Lover",449,"2.99"
"Hanky October",397,"2.99"
"Happiness United",399,"2.99"
"Hardly Robbers",400,"2.99"
"Heaven Freedom",410,"2.99"
"Hedwig Alter",413,"2.99"
"Hellfighters Sierra",414,"2.99"
"High Encino",415,"2.99"
"Hocus Frida",419,"2.99"
"Homicide Peach",428,"2.99"
"Idols Snatchers",450,"2.99"
"Hoosiers Birdcage",431,"2.99"
"Hope Tootsie",432,"2.99"
"Horn Working",433,"2.99"
"House Dynamite",437,"2.99"
"Human Graffiti",438,"2.99"
"Hunter Alter",441,"2.99"
"Hunting Musketeers",442,"2.99"
"Hurricane Affair",443,"2.99"
"Hyde Doctor",445,"2.99"
"Ice Crossing",447,"2.99"
"Idaho Love",448,"2.99"
"Image Princess",453,"2.99"
"Insider Arizona",462,"2.99"
"Instinct Airport",463,"2.99"
"Intentions Empire",464,"2.99"
"Invasion Cyclone",468,"2.99"
"Island Exorcist",471,"2.99"
"Jacket Frisco",473,"2.99"
"Jade Bunch",474,"2.99"
"Jason Trap",476,"2.99"
"Jaws Harry",478,"2.99"
"Jeepers Wedding",480,"2.99"
"Jekyll Frogmen",481,"2.99"
"Jericho Mulan",483,"2.99"
"Jerk Paycheck",484,"2.99"
"Jumanji Blade",490,"2.99"
"Kentuckian Giant",495,"2.99"
"Killer Innocent",498,"2.99"
"Knock Warlock",502,"2.99"
"Kramer Chocolate",503,"2.99"
"Labyrinth League",505,"2.99"
"Leathernecks Dwarfs",513,"2.99"
"Lebowski Soldiers",514,"2.99"
"Liberty Magnificent",519,"2.99"
"License Weekend",520,"2.99"
"Life Twisted",522,"2.99"
"Lock Rear",526,"2.99"
"Lolita World",528,"2.99"
"Lonely Elephant",529,"2.99"
"Lord Arizona",530,"2.99"
"Lost Bird",533,"2.99"
"Lovely Jingle",536,"2.99"
"Lover Truman",537,"2.99"
"Luck Opus",539,"2.99"
"Lucky Flying",540,"2.99"
"Luke Mummy",541,"2.99"
"Mask Peach",561,"2.99"
"Lust Lock",542,"2.99"
"Madison Trap",544,"2.99"
"Madre Gables",546,"2.99"
"Magnificent Chitty",548,"2.99"
"Maguire Apache",550,"2.99"
"Malkovich Pet",554,"2.99"
"Manchurian Curtain",557,"2.99"
