"rental_id","rental_date","inventory_id","customer_id","return_date","staff_id","last_update","rental_period"
2,"2005-05-24 22:54:33",1525,459,"2005-05-28 19:40:33",1,"2006-02-16 02:30:53","3 days 20:46:00"
3,"2005-05-24 23:03:39",1711,408,"2005-06-01 22:12:39",1,"2006-02-16 02:30:53","7 days 23:09:00"
4,"2005-05-24 23:04:41",2452,333,"2005-06-03 01:43:41",2,"2006-02-16 02:30:53","9 days 02:39:00"
5,"2005-05-24 23:05:21",2079,222,"2005-06-02 04:33:21",1,"2006-02-16 02:30:53","8 days 05:28:00"
6,"2005-05-24 23:08:07",2792,549,"2005-05-27 01:32:07",1,"2006-02-16 02:30:53","2 days 02:24:00"
7,"2005-05-24 23:11:53",3995,269,"2005-05-29 20:34:53",2,"2006-02-16 02:30:53","4 days 21:23:00"
8,"2005-05-24 23:31:46",2346,239,"2005-05-27 23:33:46",2,"2006-02-16 02:30:53","3 days 00:02:00"
9,"2005-05-25 00:00:40",2580,126,"2005-05-28 00:22:40",1,"2006-02-16 02:30:53","3 days 00:22:00"
10,"2005-05-25 00:02:21",1824,399,"2005-05-31 22:44:21",2,"2006-02-16 02:30:53","6 days 22:42:00"
11,"2005-05-25 00:09:02",4443,142,"2005-06-02 20:56:02",2,"2006-02-16 02:30:53","8 days 20:47:00"
12,"2005-05-25 00:19:27",1584,261,"2005-05-30 05:44:27",2,"2006-02-16 02:30:53","5 days 05:25:00"
13,"2005-05-25 00:22:55",2294,334,"2005-05-30 04:28:55",1,"2006-02-16 02:30:53","5 days 04:06:00"
14,"2005-05-25 00:31:15",2701,446,"2005-05-26 02:56:15",1,"2006-02-16 02:30:53","1 day 02:25:00"
15,"2005-05-25 00:39:22",3049,319,"2005-06-03 03:30:22",1,"2006-02-16 02:30:53","9 days 02:51:00"
16,"2005-05-25 00:43:11",389,316,"2005-05-26 04:42:11",2,"2006-02-16 02:30:53","1 day 03:59:00"
17,"2005-05-25 01:06:36",830,575,"2005-05-27 00:43:36",1,"2006-02-16 02:30:53","1 day 23:37:00"
18,"2005-05-25 01:10:47",3376,19,"2005-05-31 06:35:47",2,"2006-02-16 02:30:53","6 days 05:25:00"
19,"2005-05-25 01:17:24",1941,456,"2005-05-31 06:00:24",1,"2006-02-16 02:30:53","6 days 04:43:00"
20,"2005-05-25 01:48:41",3517,185,"2005-05-27 02:20:41",2,"2006-02-16 02:30:53","2 days 00:32:00"
21,"2005-05-25 01:59:46",146,388,"2005-05-26 01:01:46",2,"2006-02-16 02:30:53","23:02:00"
22,"2005-05-25 02:19:23",727,509,"2005-05-26 04:52:23",2,"2006-02-16 02:30:53","1 day 02:33:00"
23,"2005-05-25 02:40:21",4441,438,"2005-05-29 06:34:21",1,"2006-02-16 02:30:53","4 days 03:54:00"
24,"2005-05-25 02:53:02",3273,350,"2005-05-27 01:15:02",1,"2006-02-16 02:30:53","1 day 22:22:00"
25,"2005-05-25 03:21:20",3961,37,"2005-05-27 21:25:20",2,"2006-02-16 02:30:53","2 days 18:04:00"
26,"2005-05-25 03:36:50",4371,371,"2005-05-31 00:34:50",1,"2006-02-16 02:30:53","5 days 20:58:00"
27,"2005-05-25 03:41:50",1225,301,"2005-05-30 01:13:50",2,"2006-02-16 02:30:53","4 days 21:32:00"
28,"2005-05-25 03:42:37",4068,232,"2005-05-26 09:26:37",2,"2006-02-16 02:30:53","1 day 05:44:00"
29,"2005-05-25 03:47:12",611,44,"2005-05-30 00:31:12",2,"2006-02-16 02:30:53","4 days 20:44:00"
30,"2005-05-25 04:01:32",3744,430,"2005-05-30 03:12:32",1,"2006-02-16 02:30:53","4 days 23:11:00"
31,"2005-05-25 04:05:17",4482,369,"2005-05-30 07:15:17",1,"2006-02-16 02:30:53","5 days 03:10:00"
32,"2005-05-25 04:06:21",3832,230,"2005-05-25 23:55:21",1,"2006-02-16 02:30:53","19:49:00"
33,"2005-05-25 04:18:51",1681,272,"2005-05-27 03:58:51",1,"2006-02-16 02:30:53","1 day 23:40:00"
34,"2005-05-25 04:19:28",2613,597,"2005-05-29 00:10:28",2,"2006-02-16 02:30:53","3 days 19:51:00"
